runnerId,allTimeAvg,noRaces,category,resultTime
7332,15838,0,47.0,19709
7334,15810,0,32.0,12497
7335,15674,0,42.0,23949
7336,15645,0,37.0,12205
7337,15645,2,37.0,15981
7346,16115,0,52.0,15957
7349,15810,0,32.0,16486
7350,15919,0,27.0,14794
7352,19289,0,16.0,20274
7353,15919,0,27.0,20325
7356,16166,0,21.0,17837
7364,15919,0,27.0,20567
7365,15674,1,42.0,17635
7367,15645,0,37.0,13140
7373,13963,13,57.0,15871
7377,15919,0,27.0,13522
7384,15919,0,27.0,15988
7385,16166,0,21.0,19643
7390,15674,1,42.0,16080
7391,15838,0,47.0,21140
7395,17194,1,52.0,22620
7396,15963,3,37.0,15433
7397,14256,1,27.0,13773
7399,15919,0,27.0,18909
7403,16115,1,52.0,15171
7404,15645,0,37.0,11392
7405,15674,0,42.0,16110
7406,15645,3,37.0,16302
7415,17196,0,67.0,16521
7417,15919,0,27.0,16049
7423,16115,3,52.0,15942
7424,19289,1,16.0,16617
7425,23322,1,37.0,21696
7430,15919,0,27.0,16549
7432,16115,2,52.0,16434
7435,16152,0,57.0,19106
7437,17414,8,32.0,14295
7441,15645,0,37.0,20773
7445,16166,1,21.0,16437
7446,19289,0,16.0,19106
7451,15838,2,47.0,18390
7462,15645,1,37.0,13913
7464,15810,0,32.0,20943
7465,14228,6,42.0,15009
7466,12943,1,42.0,13939
7467,15645,1,37.0,24348
7468,15645,4,37.0,13597
7478,18424,2,74.5,21736
7481,15919,3,27.0,19921
7485,16115,0,52.0,17352
7487,15645,0,37.0,18274
7491,15838,0,47.0,11044
7492,16166,0,21.0,18934
7494,16115,0,52.0,13079
7495,21443,2,37.0,17756
7497,15645,0,37.0,18592
7502,15674,0,42.0,22899
7504,15645,0,37.0,14049
7505,15810,0,32.0,19525
7508,15919,0,27.0,16156
7512,16115,0,52.0,19343
7523,17196,4,67.0,21100
7525,15645,1,37.0,16370
7526,15919,0,27.0,12655
7527,15919,0,27.0,17285
7529,15919,0,27.0,16032
7530,15838,3,47.0,12554
7535,15919,0,27.0,21586
7536,15645,0,37.0,18681
7538,16166,3,21.0,14703
7539,15919,0,27.0,20506
7541,15810,0,32.0,15882
7546,16166,0,21.0,20264
7550,15919,0,27.0,14827
7553,16166,0,21.0,15729
7555,15810,2,32.0,12654
7556,15674,1,42.0,15737
7560,15645,1,37.0,13550
7562,15645,0,37.0,15011
7565,15674,0,42.0,16529
7572,15674,1,42.0,14275
7575,15645,0,37.0,14618
7576,15674,0,42.0,16319
7584,15674,0,42.0,13543
7590,15810,1,32.0,12208
7603,16115,0,52.0,19710
7605,15838,0,47.0,16592
7607,15838,0,47.0,19167
7608,15645,0,37.0,18104
7609,15810,1,32.0,18645
7614,15674,0,42.0,17167
7615,15919,0,27.0,16625
7617,15919,0,27.0,16332
7618,16115,0,52.0,18907
7619,15645,7,37.0,13879
7621,15810,0,32.0,16339
7630,16051,17,52.0,17950
7646,17523,4,42.0,17476
7649,15645,0,37.0,16160
7654,15810,1,32.0,20312
7656,15674,1,42.0,12706
7657,15919,0,27.0,14157
7659,16115,0,52.0,12891
7660,15838,0,47.0,22928
7662,16152,0,57.0,17477
7667,15919,0,27.0,15634
7669,15674,2,42.0,19792
7672,15645,4,37.0,15248
7673,15674,5,42.0,13569
7675,15674,0,42.0,14858
7676,15810,0,32.0,16813
7681,16115,0,52.0,14657
7683,15838,0,47.0,17691
7686,16115,0,52.0,19016
7693,16771,0,62.0,14853
7694,17196,2,67.0,14069
7708,15645,0,37.0,18638
7709,15674,0,42.0,13769
7711,12372,4,37.0,11196
7713,15810,0,32.0,17821
7725,16115,0,52.0,16048
7726,15674,0,42.0,19084
7729,15645,15,37.0,11397
7735,15645,1,37.0,19351
7738,16115,2,52.0,20380
7741,16166,0,21.0,16185
7744,16166,0,21.0,12630
7755,15645,0,37.0,13928
7756,16166,0,21.0,18909
7760,17725,2,37.0,16255
7764,15838,0,47.0,12684
7768,15674,1,42.0,17957
7769,15116,3,37.0,14282
7771,15674,0,42.0,15244
7777,15674,0,42.0,22140
7780,16166,0,21.0,14330
7783,15645,0,37.0,19849
7786,15674,3,42.0,19240
7787,15645,0,37.0,25409
7794,15645,0,37.0,13767
7802,15674,0,42.0,15480
7803,15645,0,37.0,15495
7804,15645,0,37.0,20193
7805,15356,7,47.0,13758
7806,15838,0,47.0,22716
7809,16166,1,21.0,19622
7812,16152,0,57.0,15627
7814,15645,0,37.0,14662
7821,16166,0,21.0,13131
7823,15919,0,27.0,17803
7825,15674,2,42.0,18387
7826,15838,1,47.0,15383
7832,14861,6,37.0,16045
7834,15919,0,27.0,20741
7839,15674,0,42.0,16885
7841,16012,2,21.0,14948
7843,15838,2,47.0,16183
7845,15919,0,27.0,13281
7846,15919,1,27.0,10805
7848,16166,7,21.0,13843
7850,15919,0,27.0,16732
7852,15838,0,47.0,20035
7853,16166,0,21.0,16723
7855,15810,0,32.0,20216
7856,15645,0,37.0,19450
7858,15645,2,37.0,19035
7859,16115,0,52.0,15781
7860,15810,0,32.0,15844
7863,16166,0,21.0,22010
7864,15674,0,42.0,14170
7865,15838,0,47.0,12660
7867,16166,1,21.0,14521
7868,15645,0,37.0,18748
7870,15838,0,47.0,18666
7876,15810,0,32.0,19817
7878,17196,0,67.0,21577
7879,14271,9,37.0,13844
7880,15810,0,32.0,15315
7893,15674,2,42.0,13757
7895,15645,1,37.0,11490
7900,15674,0,42.0,21744
7906,15810,1,32.0,11111
7909,21512,1,37.0,19972
7910,15919,1,27.0,17124
7913,14568,3,52.0,14068
7917,15674,4,42.0,12195
7919,16166,0,21.0,12808
7924,16115,0,52.0,18002
7933,15674,1,42.0,19757
7937,15645,0,37.0,19376
7938,15919,1,27.0,17275
7941,15838,0,47.0,21217
7942,15674,0,42.0,20055
7943,15645,0,37.0,16379
7945,15674,0,42.0,19776
7947,15645,2,37.0,15272
7948,15674,2,42.0,10572
7949,15838,0,47.0,12855
7952,15838,0,47.0,17289
7954,11242,1,47.0,11562
7955,15919,0,27.0,22150
7958,15645,0,37.0,13572
7961,15838,6,47.0,21261
7966,15674,0,42.0,21446
7969,15674,0,42.0,20169
7973,15674,0,42.0,17202
7975,16152,0,57.0,10931
7976,16115,5,52.0,12559
7979,15810,0,32.0,17114
7980,13771,2,37.0,13742
7981,15674,0,42.0,15866
7983,16152,0,57.0,14069
7987,15810,0,32.0,12006
7992,15674,1,42.0,25337
7993,15838,0,47.0,20081
7995,15838,1,47.0,22520
8004,15838,2,47.0,12083
8007,15674,3,42.0,16751
8010,16166,0,21.0,14491
8014,18424,1,74.5,24694
8021,15674,1,42.0,18803
8022,15645,0,37.0,18678
8028,15645,0,37.0,16458
8033,16166,0,21.0,15405
8038,16166,0,21.0,17698
8043,15645,1,37.0,19128
8045,15810,0,32.0,14516
8048,15919,0,27.0,16758
8054,22598,1,42.0,22008
8055,15645,0,37.0,18640
8059,15645,0,37.0,12982
8065,15838,0,47.0,15411
8068,16166,0,21.0,14030
8073,16166,0,21.0,14828
8075,15810,0,32.0,16620
8079,15645,0,37.0,14282
8088,15919,0,27.0,19798
8089,15838,3,47.0,16898
8094,19208,2,27.0,19808
8095,16115,0,52.0,15489
8098,16012,3,37.0,15433
8103,15645,0,37.0,13648
8113,15645,0,37.0,12583
8116,15919,0,27.0,20016
8117,15838,0,47.0,18250
8118,15810,0,32.0,20664
8122,15919,0,27.0,19382
8130,15919,0,27.0,12604
8131,15645,2,37.0,22161
8132,18424,1,74.5,18819
8135,15810,0,32.0,16901
8137,15838,0,47.0,20534
8145,15810,1,32.0,17698
8146,15645,2,37.0,21750
8149,15674,2,42.0,15779
8154,15838,1,47.0,13917
8155,16152,0,57.0,22924
8157,15838,2,47.0,10469
8158,14106,7,42.0,13741
8164,20069,1,37.0,16980
8167,16166,8,21.0,11813
8172,15645,0,37.0,11128
8173,15645,0,37.0,19564
8175,16923,14,52.0,16329
8180,15919,0,27.0,14683
8184,16152,0,57.0,17716
8190,16166,3,21.0,12822
8191,16115,2,52.0,15229
8197,16166,2,21.0,25937
8198,15919,0,27.0,12834
8200,16166,0,21.0,22602
