2012-06-16,TourduLacBrome,"22,2KMCHEMINDECAMPAGNE"
2012-06-16,TourduLacBrome,9KMTRAIL
2012-06-16,TourduLacBrome,5KMROUTE
2012-06-16,TriathlonDrummondville,TRIATHLONSPRINT
2012-06-16,TriathlonDrummondville,TRIATHLONOLYMPIQUE
2012-06-16,TriathlonDrummondville,DUATHLON
2012-06-16,TriathlonLacBeauport,TRIATHLON
2012-06-16,TriathlonLacBeauport,DUATHLON
2012-06-17,DescenteRoyale,10KM
2012-06-17,DescenteRoyale,5KM
2012-06-17,ManitobaMarathon,MARATHON
2012-06-17,ManitobaMarathon,HALFMARATHON
2012-06-17,SubaruGuelphLakeITriathlon&Duathlon,OLYMPICTRIATHLON
2012-06-17,TourduLacBrome,20KMROUTE
2012-06-17,TourduLacBrome,CHALLENGEMARATHON
2012-06-17,TourduLacBrome,10KMROUTE
2012-06-23,LeDefiBeauceron,5KM
2012-06-23,LeDefiBeauceron,7KMMARCHE
2012-06-23,LeDefiBeauceron,10KM
2012-06-23,MultiSportCanadaTriathlonSeriesWellandTri/Du&Give-It-A-Tri,GIVE-IT-A-TRI
2012-06-23,TorontoPearsonRunwayRun,5K
2012-06-24,CoupeDix302012,5KM
2012-06-24,CoupeDix302012,10KM
2012-06-24,IronmanMont-Tremblant70.3,OVERALL70.3
2012-06-24,MultiSportCanadaTriathlonSeriesWellandTri/Du&Give-It-A-Tri,HALFIRONDISTANCETRIATHLON
2012-06-24,ScotiabankVancouverHalfMarathon&5k,HALFMARATHON
2012-06-24,SmithsFallsClassicTriathlon/Duathlon&Relay,SPRINTTRIATHLON
2012-06-30,DemiMarathondeSherbrooke,DEMIMARATHON
2012-06-30,DemiMarathondeSherbrooke,10KM
2012-06-30,DemiMarathondeSherbrooke,5KM
2012-06-30,PrideandRemembranceRun,5KM
2012-06-30,TriathlonAcademieSte-Therese/VilledeBlainville,TRIATHLON-SPRINT
2012-06-30,TriathlonAcademieSte-Therese/VilledeBlainville,TRIATHLONINITIATION-10-99ANS
2012-06-30,TupperLakeTinmanTriathlon,TINMANTRIATHLON
2012-07-01,Bushtukah-CanadaDayRoadRaces,5KM
2012-07-01,CanadaDay5K,CANADADAY5K
2012-07-07,MikeCollingwoodMeechLakeTriathlon,TRIATHLON
2012-07-07,TriathlondeGatineau,TRIATHLONSPRINT
2012-07-07,TriathlondeGatineau,TRIATHLONOLYMPIQUE
2012-07-07,TriathlondeGatineau,TRI-NEO
2012-07-07,TriathlondeGatineau,DUATHLONSPRINT
2012-07-07,TriathlondeSaguenay,DUATHLONSPRINT
2012-07-07,TriathlondeSaguenay,TRIATHLONOLYMPIQUE
2012-07-07,TriathlondeSaguenay,TRIATHLONSPRINT
2012-07-08,CoupeDix302012,10KM
2012-07-08,CoupeDix302012,5KM
2012-07-08,Cyclo-Orford,100KM
2012-07-08,Cyclo-Orford,50KM
2012-07-08,Ironman70.3RhodeIsland,OVERALLRESULTS
2012-07-14,BushtukahBringontheBay3KOpenWaterSwimforEasterSeals,3KM
2012-07-14,Demi-MarathonMarcelJobin,21KM
2012-07-14,Demi-MarathonMarcelJobin,5KM
2012-07-14,TriathlonSt-Lambert,TRIATHLONSPRINT
2012-07-14,TriathlonSt-Lambert,DUATHLON
2012-07-14,TriathlonSt-Lambert,TRIATHLONINITIATION
2012-07-15,DefidesDamesdeCoeur,10KM
2012-07-15,TheFriendlyMasseyMarathon,MARATHON
2012-07-15,TriathlonO2deSherbrooke,TRIATHLONOLYMPIQUE
2012-07-15,TriathlonO2deSherbrooke,TRIATHLONO2
2012-07-15,TriathlondeQuebec,TRIATHLONSPRINT
2012-07-19,DowntownDash,10KM
2012-07-22,CoupeDix302012,5KM
2012-07-22,CoupeDix302012,10KM
2012-07-22,IronmanLakePlacid,OVERALL
2012-07-22,LindsayMilkRun,10KM
2012-07-22,SubaruMuskokaTriathlonandDuathlon,5150TRIATHLON
2012-07-22,TriathlonTrimemphredeMagog,TRIATHLONOLYMPIQUE
2012-07-22,TriathlonTrimemphredeMagog,TRIATHLONLONGUEDISTANCE
2012-07-22,TriathlonTrimemphredeMagog,TRIATHLONSPRINT
2012-07-22,TriathlonTrimemphredeMagog,DUATHLONOLYMPIQUE
2012-07-22,TriathlonTrimemphredeMagog,NAGEVELOINITIATION
2012-07-28,MultiSportCanadaTriathlonSeriesCobourg,OLYMPICDISTANCETRIATHLON
2012-08-04,NationalCapital5and10kmRun,5KM
2012-08-04,NationalCapitalTriathlonDuathlonandRelays,SUPERSPRINTTRIATHLON
2012-08-05,DeepRiverTriathlon,TRIATHLON
2012-08-05,DéfiBoréalSainte-Anne-de-Bellevue,20KM
2012-08-05,DéfiBoréalSainte-Anne-de-Bellevue,10KM
2012-08-05,DéfiBoréalSainte-Anne-de-Bellevue,2KM
2012-08-05,DéfiBoréalSainte-Anne-de-Bellevue,5KM
2012-08-05,K-TownTriathlonandDuathlon,SHORTCOURSEDUATHLON
2012-08-05,TriathlonSte-Agathe,TRIATHLON
2012-08-05,TriathlonSte-Agathe,1KMNATATION
2012-08-05,TriathlonSte-Agathe,DUATHLON
2012-08-05,TriathlonTerrebonne,DUATHLON
2012-08-05,TriathlonTerrebonne,TRIATHLONSPRINT
2012-08-11,IronmanU.S.Championships,OVERALLRESULTS
2012-08-11,TriathlonPromutuelduFjord,TRIATHLONSPRINT
2012-08-11,TriathlonPromutuelduFjord,DUATHLONSPRINT
2012-08-11,TriathlonPromutuelduFjord,TRIATHLONOLYMPIQUE
2012-08-12,Demi-MarathonduMont-Tremblant,DEMI-MARATHON
2012-08-12,Demi-MarathonduMont-Tremblant,10KM
2012-08-12,GranfondoGarneau-Cascades,110KM
2012-08-12,GreatRaisinRiverFootrace,11KM
2012-08-12,TorontoInternationalTenMilerand5K,10MILES
2012-08-12,TriathlondeVerdun,TRIATHLONSPRINT
2012-08-12,TriathlondeVerdun,DEFISUPERSPRINT
2012-08-12,TriathlondeVerdun,DUATHLONSPRINT
2012-08-12,TriathlondeVerdun,TRIATHLONINITIATION
