2012-09-23,ISLANDGIRLHALFMARATHON
2012-09-23,MARATHON OASIS DE MONTREAL
2012-09-23,MARATHONOASISDEMONTREAL
2012-09-23,THERUNFORGRAPES1/2MARATHON&AMP;5KMRUN
2012-09-29,WAKEFIELDMOONLIGHTRIVERRUN
2012-09-30,IRONMAN70.3POCONOMOUNTAINS
2012-09-30,MARATHONDERIMOUSKI
2012-09-30,SOUTHOTTAWARACEDAYHALFMARATHON
2012-09-30,SURREYINTERNATIONALMUSICMARATHON
2012-10-06,DR.KIMARMTRONGTURKEYTROT
2012-10-07,BMOOKANAGANMARATHON
2012-10-07,DEMIMARATHONDESCOULEURSDEBECANCOUR
2012-10-07,GOODLIFEFITNESSVICTORIAMARATHON
2012-10-07,LAPETITEDERNIERE
2012-10-07,LECROSSDESCOULEURS
2012-10-07,OTTAWAFALLCOLOURSMARATHONEVENTS
2012-10-14,CLASSIQUEDUPARCLAFONTAINE
2012-10-14,DEFIDUTOURDULACBEAUPORT
2012-10-14,NIKEWOMEN'SMARATHON
2012-10-14,SCOTIABANKTORONTOWATERFRONTMARATHON
2012-10-14,THECOUNTYMARATHON
2012-10-20,9RUNRUN
2012-10-20,CROSS-COUNTRYSAINT-LAURENTSELECT
2012-10-21,NIAGARAFALLSINTERNATIONALMARATHON
2012-10-27,OTTAWABEATBEETHOVEN
2012-10-28,IRONMAN70.3MIAMI
2012-10-28,RATTLEMEBONES5AND10KM
2012-11-03,HEATHERSAALTINKMEMORIALRUN
2012-11-04,OKAROADRACE
2012-11-18,FATASSTRAILRUN
2012-12-02,CAYMANISLANDSMARATHON
2012-12-02,RIRASANTA5K
2012-12-09,HONOLULUMARATHON
2013-01-28,CRUISETORUN
2013-02-01,CRUISETORUN
2013-02-02,WINTERLUDETRIATHLONBALDENEIGE
2013-02-16,GATINEAULOPPET
2013-02-17,DEMIMARATHONHYPOTHERMIQUE
2013-02-17,DÉFIHIVERNALILEBIZARD
2013-02-17,GATINEAULOPPET
2013-02-17,WINTERMANMARATHONANDMARATHONRELAYS
2013-02-24,MORIN-HEIGHTSVIKINGLOPPET
2013-02-24,YMCAOFPETERBOROUGHHALF-MARATHONAND5KM
2013-03-02,DEFINORDIQUE
2013-03-02,PENTATHLONDESNEIGES
2013-03-03,CHILLYHALFMARATHON&FROSTY5KM
2013-03-03,DEFINORDIQUE
2013-03-03,PENTATHLONDESNEIGES
2013-03-10,OKASKIMARATHON
2013-03-16,TOURDUMONT-VALIN
2013-03-17,IRONMAN70.3SANJUAN
2013-03-24,AROUNDTHEBAYROADRACES
2013-03-24,COURSEETMARCHEPOPULAIRESDELASALLE
2013-03-30,IRONMAN70.3CALIFORNIAOCEANSIDE
2013-04-06,HARRY'SSPRINGRUNOFF
2013-04-07,IRONMAN70.3TEXAS
2013-04-14,COURSESAINT-LAURENT
2013-04-14,RUNFORRETINA
2013-04-21,COURSEPRINTANIEREOKA
2013-04-21,MERCEDES-BENZ10K
2013-04-21,TORONTOYONGESTREET10K
2013-04-21,VANCOUVERSUNRUN
2013-04-27,"RUNTOENDMSHALF-MARATHON,5KMAND10KM"
2013-04-28,BANQUESCOTIA21KMET5KM
2013-04-28,COURSEDUCEGEPTROIS-RIVIERES
2013-05-05,BMOVANCOUVERMARATHON
2013-05-05,COURSESTE-AGATHE
2013-05-05,DEMIMARATHONINTERNATIONALOASISDELEVIS
2013-05-05,DÉFICOURSEETMARCHEDESJARDINSSAINTETHÉRÈSE
2013-05-05,"GOODLIFETORONTOMARATHON,HALFMARATHON,AND5K"
2013-05-05,MISSISSAUGAMARATHONRACES
2013-05-05,PUERTORICOMARATHONANDHALFMARATHON
2013-05-11,COURSEDELAFONDATIONHOPITALSAINTJEROME
2013-05-11,DAYBEFOREMOTHER'SDAYDUATHLON&RELAYS
2013-05-11,LECHALLENGEIRCM-COURIRPOURLAVIE
2013-05-12,AURYTHMEDENOSFOULÉESCHÂTEAUGUAY
2013-05-12,BONJOURPRINTEMPS
2013-05-12,DEFIGERARDCOTEDEST-HYACINTHE
2013-05-12,SPORTINGLIFE10K
2013-05-16,COURSEPLESSISVILLEENSOIREE
2013-05-18,OTTAWAEARLYBIRDTRIATHLONANDDUATHLON
2013-05-19,DESCHENESTOI
2013-05-19,DUATHLONSOREL-TRACY
2013-05-19,IRONMANFLORIDA70.3
2013-05-19,SCOTIABANKBLUENOSEMARATHON
2013-05-19,VERTLERAID-LESENTIERURBAIN
2013-05-20,SUBARUVICTORIA'SDUATHLON
2013-05-25,DEFIMEMPHRE
2013-05-25,DEMIMARATHONGENERATIONS
2013-05-25,FESTIVALQUEBECENSANTE10KMDUBONHEUR
2013-05-25,OTTAWARACEWEEKEND
2013-05-26,COURSEPOURVAINCRELASCLEROSEENPLAQUESMONT-TREMBLANT
2013-05-26,OTTAWARACEWEEKEND
2013-05-26,TORONTOWOMEN'SHALFMARATHON&5K
2013-05-26,TRIATHLONDUATHLOND'OKA
2013-06-01,DEFIPHYSIOEXTRADETERREBONNE
2013-06-01,IRONMAN70.3HAWAII
2013-06-01,MUDHEROOTTAWA
2013-06-02,BEATBEETHOVEN8KMRUN
2013-06-02,BREADANDHONEYRACES
2013-06-02,COURSED'ETEDESILESDEBOUCHERVILLE
2013-06-02,COURSEDELABATAILLEDESPLAINES
2013-06-02,DEFIVINCENTROY
2013-06-02,DÉFITRI-O-LACS
2013-06-02,SUBARUMILTONTRIATHLON
2013-06-02,TRIATHLONDEJOLIETTE
2013-06-02,VERTLERAID-TRAILLACLINIQUEDUCOUREUR
2013-06-08,BARRHAVENRUNFORROGER'SHOUSE
2013-06-08,MULTISPORTCANADATRIATHLONSERIESBINBROOK
2013-06-08,OTTAWARIVERTRIATHLON&DUATHLON
2013-06-08,TRIATHLON/DUATHLONMONT-TREMBLANT
2013-06-09,8THANNUALRUNWALK4PATRICKFAMILYFEST
2013-06-09,DEFIDEUX-MONTAGNES
2013-06-09,DEFITRIATHLONOPTIMISTEDELACHINE
2013-06-09,DEMIMARATHONDESPOMPIERSDESHAWINIGAN
2013-06-09,LAGRANDEVIREEDESSENTIERSST-BRUNO
2013-06-15,METCONBLUEADVENTURERACE
2013-06-15,MUDHEROMONTREAL
2013-06-15,SUBARUGUELPHLAKEISPRINTTRIATHLON&DUATHLON
2013-06-15,TORONTOPEARSONRUNWAYRUN
2013-06-15,TOURDULACBROME
2013-06-15,TRIATHLONFBLDRUMMONDVILLE
2013-06-15,TRIATHLONLACBEAUPORT
2013-06-16,BARRIEHALFMARATHON
2013-06-16,DEFIDESESCALIERS
2013-06-16,LAFOULEEDESPARCS
2013-06-16,MANITOBAMARATHON
2013-06-16,SAUNDERSSUBARUVICTORIATRIATHLON
2013-06-16,TOURDULACBROME
2013-06-22,LEDEFIBEAUCERON
2013-06-22,SPORTS4EMILIE’SRUN
2013-06-22,TRIATHLON-DUATHLONTROIS-RIVIERES
2013-06-23,IRONMANMONT-TREMBLANT70.3
2013-06-23,IRONMANSYRACUSE70.3
2013-06-23,MULTISPORTCANADATRIATHLONSERIESWELLANDTRI/DU&GIVE-IT-A-TRI
2013-06-23,SCOTIABANKVANCOUVERHALFMARATHON
2013-06-29,DEMIMARATHONDESHERBROOKE
2013-06-29,PRIDEANDREMEMBRANCERUN
2013-06-29,TUPPERLAKETINMANTRIATHLON
2013-06-30,TRIATHLONACADEMIESTE-THERESE/VILLEDEBLAINVILLE
2013-06-30,TRIATHLONVICTORIAVILLE
2013-07-01,CGCOTTAWAGAMEOFLIFE5K&10KRUN/WALK
2013-07-06,COURSEDUFESTIVALCHAMPETREDESAINT-THECLE
2013-07-06,MIKECOLLINGWOODMEECHLAKETRIATHLON
2013-07-06,MUDHEROHALIFAX
2013-07-06,TRIATHLONDEGATINEAU
2013-07-06,TRIATHLONDESAGUENAY
2013-07-07,FORTDANSLACOURSE
2013-07-13,BUSHTUKAHBRINGONTHEBAY3KOPENWATERSWIM
2013-07-13,KNEEKNACKERINGNORTHSHORETRAILRUN
2013-07-13,OTTAWABICYCLECLUBGRANDPRIX
2013-07-13,TRIATHLONDULAC-DELAGE
2013-07-13,VERTLERAID-QUEBECMEGATRAIL
2013-07-14,CHALLENGEO2MERRELL
2013-07-14,DEFIDESDAMESDECOEUR
2013-07-14,"GRAHAMBEASLEYTRIATHLON,DUATHLON&RELAYS"
2013-07-20,ACROSSTHELAKESWIM
2013-07-21,CYCLO-ORFORD
2013-07-21,LINDSAYMILKRUN
2013-07-21,THEFRIENDLYMASSEYMARATHON
2013-07-21,TRIATHLONVERDUN
2013-07-27,FESTI-BEACHDULACALATORTUE
2013-07-28,IRONMANLAKEPLACID
2013-07-28,TRIATHLONCHARLEVOIX
2013-08-03,NATIONALCAPITAL5AND10KMRUN
2013-08-03,NATIONALCAPITALTRIATHLONDUATHLONANDRELAYS
2013-08-03,VERTLERAID-DEMI-MARATHONDEL'ISLE-AUX-COUDRES
2013-08-04,DÉFIBORÉALSAINTE-ANNE-DE-BELLEVUE
2013-08-04,IRONMAN70.3STEELHEAD
2013-08-04,K-TOWNTRIATHLONANDDUATHLON
2013-08-04,MUSKOKAROCKS5&10K
2013-08-04,TRIATHLONSTE-AGATHE
2013-08-04,TRIATHLONTERREBONNE
2013-08-10,LARUEEDESJARRETS
2013-08-10,SEAWHEEZEHALFMARATHON
2013-08-10,TRIATHLONPROMUTUELDUFJORD
2013-08-11,DEMI-MARATHONDUMONT-TREMBLANT
2013-08-11,GRANFONDOGARNEAU-CASCADES
2013-08-11,GREATRAISINRIVERFOOTRACE
2013-08-11,IRONGIRLTRIFORACURE
2013-08-11,TRIATHLONTRIMEMPHREDEMAGOG
2013-08-14,LE5KMENDURANCE
2013-08-16,VERTLERAID-XCDELAVALLEE
2013-08-17,AMIDSUMMERNIGHTSRUN
2013-08-17,TIMBERMANSPRINTTRIATHLON
